platform_id,source_platform_number,source_name,lon,lat
P01,1,平台1蓝色三角形,121.633191747023,30.0339487256239
P02,2,平台2黄色三角形,121.656028610095,30.0057307290011
P03,3,平台3绿色三角形,121.670236985806,29.9878238682232
P04,4,平台4,121.650420932614,30.0342306166947
P05,5,平台5,121.661389945193,30.0282242566354
