X,Y,id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
121.629274821918,30.0359798655261,,"5",,,,,,-1,0,-1,,
121.626947714634,30.0403187869523,,"6",,,,,,-1,0,-1,,
121.629185056677,30.0413658511124,,"7",,,,,,-1,0,-1,,
121.632526355838,30.0434788309452,,"8",,,,,,-1,0,-1,,
121.642928481656,30.0318979550106,,"12",,,,,,-1,0,-1,,
121.642179398967,30.0263763509892,,"16",,,,,,-1,0,-1,,
121.633039404786,30.0321133410954,,"20",,,,,,-1,0,-1,,
121.636041727943,30.0284972921376,,"19",,,,,,-1,0,-1,,
121.639281760479,30.0411729377598,,"10",,,,,,-1,0,-1,,
121.642537709643,30.0375811602988,,"11",,,,,,-1,0,-1,,
121.639167003666,30.0357585223213,,"2",,,,,,-1,0,-1,,
121.635952175215,30.0392988587744,,"3",,,,,,-1,0,-1,,
121.632721903984,30.0375413820347,,"4",,,,,,-1,0,-1,,
121.673556689672,29.9874456003647,,"65",,,,,,-1,0,-1,,
121.67680220527,29.9897114757752,,"66",,,,,,-1,0,-1,,
121.673564768772,29.9936092644037,,"67",,,,,,-1,0,-1,,
121.669699408039,29.9915309903126,,"68",,,,,,-1,0,-1,,
121.665476138241,29.9892895601555,,"69",,,,,,-1,0,-1,,
121.661809267646,29.9936454826226,,"70",,,,,,-1,0,-1,,
121.666732741755,29.9964614926979,,"71",,,,,,-1,0,-1,,
121.664776237835,30.0038358432909,,"72",,,,,,-1,0,-1,,
121.66293968003,30.0124556456365,,"73",,,,,,-1,0,-1,,
121.666380507553,30.0146423552447,,"74",,,,,,-1,0,-1,,
121.665861045889,30.0219910687027,,"75",,,,,,-1,0,-1,,
121.661989050195,30.0201396186248,,"76",,,,,,-1,0,-1,,
121.657124693334,30.0260596243531,,"77",,,,,,-1,0,-1,,
121.661389945193,30.0282242566354,,平台5,,,,,,-1,0,-1,,
121.664380477024,30.0301150360513,,"79",,,,,,-1,0,-1,,
121.669634830633,30.0241257711119,,"80",,,,,,-1,0,-1,,
121.673565361266,30.0190617046581,,"81",,,,,,-1,0,-1,,
121.670602327361,30.0185682014747,,"82",,,,,,-1,0,-1,,
121.672136907241,30.0142499551951,,"83",,,,,,-1,0,-1,,
121.669610899586,30.0128828713377,,"84",,,,,,-1,0,-1,,
121.665562353315,30.0106769449763,,"85",,,,,,-1,0,-1,,
121.668825377337,30.000020742895,,"86",,,,,,-1,0,-1,,
121.677301564784,29.9944863675762,,"87",,,,,,-1,0,-1,,
121.682828329049,29.9905704698702,,"88",,,,,,-1,0,-1,,
121.692237414222,29.9828901299551,,"90",,,,,,-1,0,-1,,
121.68733616551,29.9779917092281,,"91",,,,,,-1,0,-1,,
121.680054498857,29.9710886104915,,"92",,,,,,-1,0,-1,,
121.676055870694,29.9751112836644,,"93",,,,,,-1,0,-1,,
121.684308242211,29.9802601409047,,"94",,,,,,-1,0,-1,,
121.681109885342,29.9845682367548,,"95",,,,,,-1,0,-1,,
121.672879564862,29.9799417346017,,"96",,,,,,-1,0,-1,,
121.664521331071,29.9744690431682,,"97",,,,,,-1,0,-1,,
121.653525556115,29.9858093255171,,"98",,,,,,-1,0,-1,,
121.658112150483,29.9893812553614,,"99",,,,,,-1,0,-1,,
121.667499176141,29.9814880577351,,"100",,,,,,-1,0,-1,,
121.651678736398,30.0440473895131,,危险源1 H01,,,,,,-1,0,-1,,
121.67041969662,30.0185602272488,,危险源2,,,,,,-1,0,-1,,
121.646364308656,29.9977419330686,,危险源3,,,,,,-1,0,-1,,
121.681139545927,29.9843064512341,,危险源4,,,,,,-1,0,-1,,
121.63584059987,30.0338775808647,,"1",,,,,,-1,0,-1,,
121.636212524641,30.0452145782441,,"9",,,,,,-1,0,-1,,
121.633191747023,30.0339487256239,,平台1蓝色三角形,,,,,,-1,0,-1,,
121.646276103992,30.0338698034176,,"13",,,,,,-1,0,-1,,
121.648232334924,30.03020409151,,"14",,,,,,-1,0,-1,,
121.645380364253,30.0282346544921,,"15",,,,,,-1,0,-1,,
121.639406332691,30.0246208727444,,"17",,,,,,-1,0,-1,,
121.63921631102,30.0296104501647,,"18",,,,,,-1,0,-1,,
121.656028610095,30.0057307290011,,平台2黄色三角形,,,,,,-1,0,-1,,
121.660847915138,30.0048957735316,,"21",,,,,,-1,0,-1,,
121.662476103031,30.0066100896434,,"22",,,,,,-1,0,-1,,
121.658944581063,30.0105005368524,,"23",,,,,,-1,0,-1,,
121.6538133939,30.0081316619653,,"24",,,,,,-1,0,-1,,
121.651314057318,30.0107159238968,,"25",,,,,,-1,0,-1,,
121.653866851177,30.0127884369851,,"26",,,,,,-1,0,-1,,
121.656556690663,30.0144964021475,,"27",,,,,,-1,0,-1,,
121.657297633698,30.0170825371483,,"28",,,,,,-1,0,-1,,
121.656051021911,30.0210972764698,,"29",,,,,,-1,0,-1,,
121.653167380819,30.0262172223489,,"31",,,,,,-1,0,-1,,
121.654619250891,30.0296633224337,,"32",,,,,,-1,0,-1,,
121.653619875196,30.0317515062045,,"33",,,,,,-1,0,-1,,
121.658719941226,30.0336941309448,,"34",,,,,,-1,0,-1,,
121.661620646135,30.0356668932992,,"35",,,,,,-1,0,-1,,
